text,target
"OLED 패널 수요가 지속적으로 증가 추세에 있다. 특히 삼성전자와 애플 등 글로벌 빅테크 기업들의 주요 제품에 OLED 패널을 탑재하면서 꾸준히 수요가 증가하고 있다. 이에 따라 OLED 패널 시장이 매년 10% 이상 성장할 것으로 예상된다. OLED는 비싼 가격이 단점으로 꼽히기도 했으나 초고화질로 인해 수요 확대가 지속되는 분위기다. 질적인 측면의 장점이 부각되면서 대중화에도 속도를 내고 있다. 특히 프리미엄 스마트폰에만 사용되던 OLED가 저렴한 보급형 휴대폰으로 확대되고, 태블릿 시장을 넘어 노트북에도 OLED 패널이 적용될 가능성이 높아지고 있다. 애플이 OLED 패널이 적용된 아이패드 출시를 예고하면서 시장을 선점하려는 업계 움직임이 계속되고 있다. 아이폰에 OLED 탑재 비율을 늘린 애플은 2024년 OLED 패널을 적용한 첫 아이패드를 출시하고, 맥북/아이맥 등 PC 제품에도 OLED 탑재 비중을 확대할 계획이다. 디스플레이의 큰손 애플이 움직이면서 국내 업체들도 본격 경쟁에 돌입했다. LG디스플레이와 삼성디스플레이는 모두 IT용 OLED 설비 투자 확대를 언급하고 검토 중이다. OLED 침투율이 40% 수준까지 상승한 스마트폰에 비해 IT 시장은 LCD 비중이 95%이기 때문에 OLED 시장은 아직 ‘블루오션’이라 평가받고 있다. 그만큼 업계 경쟁이 치열해질 것으로 예상된다. 이 텍스트를 확장해줘.","OLED 패널 수요가 지속적으로 증가 추세에 있다. 특히 삼성전자와 애플 등 글로벌 빅테크 기업들의 주요 제품에 OLED 패널을 탑재하면서 꾸준히 수요가 증가하고 있다. 이에 따라 OLED 패널 시장이 매년 10% 이상 성장할 것으로 예상된다. OLED는 비싼 가격이 단점으로 꼽히기도 했으나 초고화질로 인해 수요 확대가 지속되는 분위기다. 질적인 측면의 장점이 부각되면서 대중화에도 속도를 내고 있다. 특히 프리미엄 스마트폰에만 사용되던 OLED가 저렴한 보급형 휴대폰으로 확대되고, 태블릿 시장을 넘어 노트북에도 OLED 패널이 적용될 가능성이 높아지고 있다. 애플이 OLED 패널이 적용된 아이패드 출시를 예고하면서 시장을 선점하려는 업계 움직임이 계속되고 있다. 아이폰에 OLED 탑재 비율을 늘린 애플은 2024년 OLED 패널을 적용한 첫 아이패드를 출시하고, 맥북/아이맥 등 PC 제품에도 OLED 탑재 비중을 확대할 계획이다. 디스플레이의 큰손 애플이 움직이면서 국내 업체들도 본격 경쟁에 돌입했다. LG디스플레이와 삼성디스플레이는 모두 IT용 OLED 설비 투자 확대를 언급하고 검토 중이다. OLED 침투율이 40% 수준까지 상승한 스마트폰에 비해 IT 시장은 LCD 비중이 95%이기 때문에 OLED 시장은 아직 ‘블루오션’이라 평가받고 있다. 그만큼 업계 경쟁이 치열해질 것으로 예상된다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"정부는 2023년 5월 산업통상자원부장관 주재의 ‘디스플레이 산업 혁신 전략 원탁회의’를 개최하고 업계 대표 및 산업 관계자들과 함께 디스플레이 산업의 발전 방향과 전략을 논의했다. 2027년까지 세계 시장 점유율을 50%로 확대하고, 경쟁국과의 기술 격차를 5년 이상으로 확대한다는 방침이다. 또한 소부장(소재/부품/장비) 자립화율을 80%로 높이고, 2032년까지 디스플레이 전문 인력 9,000명을 양성하기로 했다. 우선 국내 패널 기업들은 IT용 OLED 생산라인 증설과 차세대 디스플레이 연구개발 등에 2027년까지 65조 원 이상 투자할 계획이다. 정부는 민간 투자가 적기에 이행될 수 있도록 세제, 정책금융 지원, 인프라, 규제 개선 등을 통해 연구개발부터 생산까지 전 단계에 걸쳐 뒷받침할 예정이다. 아울러 투명/XR(확장현실)/차량용의 3대 디스플레이 신시장 창출을 지원해 OLED 시장의 성장을 가속화한다. 정부는 신시장 육성에 향후 5년간 약 740억 원의 예산을 지원할 계획이다. 세부적으로는 투명 디스플레이 관련 실증 R&D에 약 100억 원, XR 기기용 초소형 디스플레이 성능 검증에 300억 원을 투자한다. 차량용 디스플레이의 경우 제품 안전성을 종합적으로 검증할 수 있는 실증센터를 구축해 관련 사업에 340억 원을 투자할 방침이다. 이 텍스트를 확장해줘.","정부는 2023년 5월 산업통상자원부장관 주재의 ‘디스플레이 산업 혁신 전략 원탁회의’를 개최하고 업계 대표 및 산업 관계자들과 함께 디스플레이 산업의 발전 방향과 전략을 논의했다. 2027년까지 세계 시장 점유율을 50%로 확대하고, 경쟁국과의 기술 격차를 5년 이상으로 확대한다는 방침이다. 또한 소부장(소재/부품/장비) 자립화율을 80%로 높이고, 2032년까지 디스플레이 전문 인력 9,000명을 양성하기로 했다. 우선 국내 패널 기업들은 IT용 OLED 생산라인 증설과 차세대 디스플레이 연구개발 등에 2027년까지 65조 원 이상 투자할 계획이다. 정부는 민간 투자가 적기에 이행될 수 있도록 세제, 정책금융 지원, 인프라, 규제 개선 등을 통해 연구개발부터 생산까지 전 단계에 걸쳐 뒷받침할 예정이다. 아울러 투명/XR(확장현실)/차량용의 3대 디스플레이 신시장 창출을 지원해 OLED 시장의 성장을 가속화한다. 정부는 신시장 육성에 향후 5년간 약 740억 원의 예산을 지원할 계획이다. 세부적으로는 투명 디스플레이 관련 실증 R&D에 약 100억 원, XR 기기용 초소형 디스플레이 성능 검증에 300억 원을 투자한다. 차량용 디스플레이의 경우 제품 안전성을 종합적으로 검증할 수 있는 실증센터를 구축해 관련 사업에 340억 원을 투자할 방침이다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
일진디스플레이는 2022년 매각을 단행했지만 난황 끝에 중단을 결정했다. 시장에서는 인수 후보 물색에도 불구하고 마땅한 매수자를 찾지 못해 중단한 것으로 해석하고 있다. 최근 몇 년간 적자와 순손실이 지속되고 있는 데다 디스플레이 업황 침체가 이어졌기 때문으로 풀이된다. 자금 조달 환경이 녹록지 않은 상황에서 인수 후 감당이 쉽지 않을 것이란 판단도 작용한 것으로 보인다. 디스플레이 업황 또한 언제 살아날지 가늠하기 어려운 상황이다. 코로나19로 호황을 누렸던 디스플레이 업황은 경기 위축발 수요 위축으로 직격탄을 맞은 상태다. 일진디스플레이는 그간 재무 건전성을 최우선 과제로 두고 강도 높은 구조 조정에 힘써왔다. 그 결과 2021년까지 이어진 적자에서 벗어나 2022년 흑자 전환이라는 재도약의 기초를 다졌다. 앞으로 재무지표 개선과 각 사업부에 대한 경쟁력을 더욱 강화해 나갈 예정이다. 이 텍스트를 확장해줘.,일진디스플레이는 2022년 매각을 단행했지만 난황 끝에 중단을 결정했다. 시장에서는 인수 후보 물색에도 불구하고 마땅한 매수자를 찾지 못해 중단한 것으로 해석하고 있다. 최근 몇 년간 적자와 순손실이 지속되고 있는 데다 디스플레이 업황 침체가 이어졌기 때문으로 풀이된다. 자금 조달 환경이 녹록지 않은 상황에서 인수 후 감당이 쉽지 않을 것이란 판단도 작용한 것으로 보인다. 디스플레이 업황 또한 언제 살아날지 가늠하기 어려운 상황이다. 코로나19로 호황을 누렸던 디스플레이 업황은 경기 위축발 수요 위축으로 직격탄을 맞은 상태다. 일진디스플레이는 그간 재무 건전성을 최우선 과제로 두고 강도 높은 구조 조정에 힘써왔다. 그 결과 2021년까지 이어진 적자에서 벗어나 2022년 흑자 전환이라는 재도약의 기초를 다졌다. 앞으로 재무지표 개선과 각 사업부에 대한 경쟁력을 더욱 강화해 나갈 예정이다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다.
"마이크로 LED 시장이 2024년 28배 커질 것으로 전망된다. 기존 마이크로 LED는 주로 고가 프리미엄 TV나 디지털 사이니지(Signage)에 적용됐다. 대량 양산의 한계와 가격 경쟁력 때문에 시장이 빠른 속도로 크지 않았지만, 2024년부터 VR(가상현실)/AR(증강현실) 기기와 각종 웨어러블 기기 시장에서 본격적으로 마이크로 LED 수요가 발생할 것으로 전망된다. 구글은 2022년 5월 5년차 스타트업 랙시엄을 인수했다. 랙시엄은 VR/AR 기기용 마이크로 LED 디스플레이 기술을 개발하는 업체다. 구글의 마이크로 LED 기반의 VR/AR 기기 시장 진출이 본격화할 것으로 전망된다. 삼성디스플레이도 VR/AR 기기용 디스플레이 후보로 마이크로 LED를 유력하게 보는 것으로 알려졌다. 디지털 콕핏에 탑재되는 차량용 디스플레이와 투명 디스플레이 시장에서도 마이크로 LED 수요가 예상된다. 마이크로 LED 소부장(소재/부품/장비) 생태계가 한층 탄탄해진 것도 시장 확대에 한몫하고 있다. 마이크로 LED는 디스플레이 패널, LED칩, 양산을 위한 전사 장비, 구동칩 등 여러 회사 간 협업이 중요하기 때문이다. 마이크로 사이즈의 LED를 만들려면 고품질의 사파이어 웨이퍼가 필요하기 때문에 품질력을 인정받고 있는 사파이어 웨이퍼를 생산하는 일진디스플레이에도 새로운 기회가 찾아올 것으로 기대된다. 이 텍스트를 확장해줘.","마이크로 LED 시장이 2024년 28배 커질 것으로 전망된다. 기존 마이크로 LED는 주로 고가 프리미엄 TV나 디지털 사이니지(Signage)에 적용됐다. 대량 양산의 한계와 가격 경쟁력 때문에 시장이 빠른 속도로 크지 않았지만, 2024년부터 VR(가상현실)/AR(증강현실) 기기와 각종 웨어러블 기기 시장에서 본격적으로 마이크로 LED 수요가 발생할 것으로 전망된다. 구글은 2022년 5월 5년차 스타트업 랙시엄을 인수했다. 랙시엄은 VR/AR 기기용 마이크로 LED 디스플레이 기술을 개발하는 업체다. 구글의 마이크로 LED 기반의 VR/AR 기기 시장 진출이 본격화할 것으로 전망된다. 삼성디스플레이도 VR/AR 기기용 디스플레이 후보로 마이크로 LED를 유력하게 보는 것으로 알려졌다. 디지털 콕핏에 탑재되는 차량용 디스플레이와 투명 디스플레이 시장에서도 마이크로 LED 수요가 예상된다. 마이크로 LED 소부장(소재/부품/장비) 생태계가 한층 탄탄해진 것도 시장 확대에 한몫하고 있다. 마이크로 LED는 디스플레이 패널, LED칩, 양산을 위한 전사 장비, 구동칩 등 여러 회사 간 협업이 중요하기 때문이다. 마이크로 사이즈의 LED를 만들려면 고품질의 사파이어 웨이퍼가 필요하기 때문에 품질력을 인정받고 있는 사파이어 웨이퍼를 생산하는 일진디스플레이에도 새로운 기회가 찾아올 것으로 기대된다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"1994년 설립된 일진그룹의 디스플레이 계열사 일진디스플레이는 발광다이오드(LED) 기초 소재인 사파이어 잉곳과 웨이퍼, 테블릿PC 노트북용 터치스크린 패널(TSP)을 생산한다. 2000년대 들어 터치패널 시장의 성장 가능성을 읽고 사업을 확대해 2013년 역대 최대 매출인 약 6,600억 원을 달성했다. 그러나 이후 신사업 동력을 발굴하지 못해 실적이 지속적으로 감소했고, 2019~2021년에는 매년 300억 원대의 영업손실을 내며 적자를 이어갔다. 적자 규모가 커지자 평택 공장을 구조 조정하고, 터치패널 부문 생산 역량을 2019년 설립한 베트남 공장으로 넘겼다. 2022년 잠시 흑자 전환에 성공했으나, 2023년에도 IT 수요 위축 등의 영향으로 3분기 누적 적자를 기록하고 있다. 10여 년 전 시장과 기술 트렌드를 잘 읽고 기회를 선점해 고도 성장을 한 뒤 새로운 비즈니스를 찾는 데 실패한 것이 마이너스 성장을 지속하는 이유로 꼽힌다. 이에 업계 최고 전문가를 신임 CEO로 영입하고 기업 쇄신을 위해 총력을 다하고 있다. 일진디스플레이는 인공지능(AI) 시장 성장을 터치패널 부문의 재도약 발판 중 하나로 보고 있다. 인공지능 시대에는 기계와 사람이 교감해야 하고, 그 수단은 결국 디스플레이가 될 것이라는 판단이다. 이에 따라 터치센서와 이를 아우르는 통합 모듈 분야 시장이 성장할 것으로 전망된다. 이 텍스트를 확장해줘.","1994년 설립된 일진그룹의 디스플레이 계열사 일진디스플레이는 발광다이오드(LED) 기초 소재인 사파이어 잉곳과 웨이퍼, 테블릿PC 노트북용 터치스크린 패널(TSP)을 생산한다. 2000년대 들어 터치패널 시장의 성장 가능성을 읽고 사업을 확대해 2013년 역대 최대 매출인 약 6,600억 원을 달성했다. 그러나 이후 신사업 동력을 발굴하지 못해 실적이 지속적으로 감소했고, 2019~2021년에는 매년 300억 원대의 영업손실을 내며 적자를 이어갔다. 적자 규모가 커지자 평택 공장을 구조 조정하고, 터치패널 부문 생산 역량을 2019년 설립한 베트남 공장으로 넘겼다. 2022년 잠시 흑자 전환에 성공했으나, 2023년에도 IT 수요 위축 등의 영향으로 3분기 누적 적자를 기록하고 있다. 10여 년 전 시장과 기술 트렌드를 잘 읽고 기회를 선점해 고도 성장을 한 뒤 새로운 비즈니스를 찾는 데 실패한 것이 마이너스 성장을 지속하는 이유로 꼽힌다. 이에 업계 최고 전문가를 신임 CEO로 영입하고 기업 쇄신을 위해 총력을 다하고 있다. 일진디스플레이는 인공지능(AI) 시장 성장을 터치패널 부문의 재도약 발판 중 하나로 보고 있다. 인공지능 시대에는 기계와 사람이 교감해야 하고, 그 수단은 결국 디스플레이가 될 것이라는 판단이다. 이에 따라 터치센서와 이를 아우르는 통합 모듈 분야 시장이 성장할 것으로 전망된다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"일진디스플레이가 관련 제조 역량을 보유한 만큼 고객에게 새로운 가치를 제공할 수 있을 것으로 보인다. 또 다른 사업 축인 사파이어 부문도 마이크로 LED 시장 성장이라는 호재를 기다리는 중이다. 마이크로 LED는 곧 워치, 고글 등 소형 전자제품을 중심으로 성장할 것으로 예측된다. 마이크로 사이즈의 LED를 만들려면 고품질의 사파이어 웨이퍼가 필요하기 때문에 일진디스플레이에게도 새로운 기회가 올 것으로 예상된다. 이 텍스트를 확장해줘.","일진디스플레이가 관련 제조 역량을 보유한 만큼 고객에게 새로운 가치를 제공할 수 있을 것으로 보인다. 또 다른 사업 축인 사파이어 부문도 마이크로 LED 시장 성장이라는 호재를 기다리는 중이다. 마이크로 LED는 곧 워치, 고글 등 소형 전자제품을 중심으로 성장할 것으로 예측된다. 마이크로 사이즈의 LED를 만들려면 고품질의 사파이어 웨이퍼가 필요하기 때문에 일진디스플레이에게도 새로운 기회가 올 것으로 예상된다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"LG디스플레이는 LG그룹 계열사로 대한민국의 디스플레이 제조사다. 1985년 설립해 1987년 TFT-LCD 개발을 시작으로 OLED, IPS 등의 차별화된 기술을 통해 혁신적인 디스플레이 및 관련 제품을 생산/판매하는 글로벌 디스플레이 회사다. TV, IT, 모바일을 비롯해 자동차 및 상업용 디스플레이 제품에 이르기까지 다양한 디스플레이 제품군에서 Cinematic Sound OLED, 8K OLED, Flexible OLED 등 혁신적인 신기술을 지속 개발하고 있으며 디스플레이업계에서 기술력으로 최고 수준을 자랑한다. 또한 중국과 유럽, 북미 등 주요 시장을 보다 밀착 공략하기 위해 세계 곳곳에 생산 거점 및 판매 법인과 지사를 설립해 운영하고 있다. 이 텍스트를 확장해줘.","LG디스플레이는 LG그룹 계열사로 대한민국의 디스플레이 제조사다. 1985년 설립해 1987년 TFT-LCD 개발을 시작으로 OLED, IPS 등의 차별화된 기술을 통해 혁신적인 디스플레이 및 관련 제품을 생산/판매하는 글로벌 디스플레이 회사다. TV, IT, 모바일을 비롯해 자동차 및 상업용 디스플레이 제품에 이르기까지 다양한 디스플레이 제품군에서 Cinematic Sound OLED, 8K OLED, Flexible OLED 등 혁신적인 신기술을 지속 개발하고 있으며 디스플레이업계에서 기술력으로 최고 수준을 자랑한다. 또한 중국과 유럽, 북미 등 주요 시장을 보다 밀착 공략하기 위해 세계 곳곳에 생산 거점 및 판매 법인과 지사를 설립해 운영하고 있다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"LCM/BLU와 Power 사업을 10년 이상 지속하면서 쌓인 설계, 제조 역량을 기반으로 TV 시장 진화 트렌드에 부합하는 다양한 제품군을 설계, 제조, 판매하고 있다. 특히 TV, 모니터, Digital Signage 등의 제품에 사용하는 Power(SMPS), Panel Driver 및 영상신호 처리보드 등을 고객 요구에 맞춰 설계, 제조해 공급하고 있다. 한솔테크닉스는 친환경, 고효율, 반영구적 광소자 LED(Light Emitting Diode)의 소재인 웨이퍼를 차별화된 원가 및 품질 경쟁력으로 생산하고 있으며, 마이크로 LED의 성장 가능성이 가시화됨에 따라 파급력 또한 크게 확대될 전망이다. 사파이어 시장의 요구 기술을 선제적으로 대응하는 글로벌 소재 일류 기업으로 성장하고 있다. 이 텍스트를 확장해줘.","LCM/BLU와 Power 사업을 10년 이상 지속하면서 쌓인 설계, 제조 역량을 기반으로 TV 시장 진화 트렌드에 부합하는 다양한 제품군을 설계, 제조, 판매하고 있다. 특히 TV, 모니터, Digital Signage 등의 제품에 사용하는 Power(SMPS), Panel Driver 및 영상신호 처리보드 등을 고객 요구에 맞춰 설계, 제조해 공급하고 있다. 한솔테크닉스는 친환경, 고효율, 반영구적 광소자 LED(Light Emitting Diode)의 소재인 웨이퍼를 차별화된 원가 및 품질 경쟁력으로 생산하고 있으며, 마이크로 LED의 성장 가능성이 가시화됨에 따라 파급력 또한 크게 확대될 전망이다. 사파이어 시장의 요구 기술을 선제적으로 대응하는 글로벌 소재 일류 기업으로 성장하고 있다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"파인텍은 2008년 설립해 끊임없는 R&D 투자와 우수 인력 확보로 전문적인 디스플레이 소재 분야의 선도 기업으로 성장해 왔다. 파인텍은 창립 이래 지속적인 연구 개발로 디스플레이 BLU를 국산화했고, 세계 최초로 폴더블 디스플레이 제조장비를 개발하는 등 디스플레이 산업에서 첨단 기술을 선도하는 기업으로 자리 잡았다. 파인텍은 디스플레이 토털 솔루션 기업을 뛰어넘어 이차전지 장비와 센서 사업에서의 끊임없는 도전과 혁신으로 글로벌 일류 기업으로 위상을 확고히 해 나가고 있다.일진디스플레이의 사업부는 크게 사파이어사업부와 터치사업부로 나뉜다. 사파이어사업부는 발광다이오드(LED)용 사파이어 웨이퍼를 주로 생산하고, 터치사업부는 휴대폰이나 태블릿에 쓰이는 터치스크린 패널을 제조한다. 일진디스플레이의 매출 90% 이상이 터치사업부에서 발생하고, 사파이어사업부의 매출 비중은 10%도 되지 않는다. 하지만 사파이어사업부에 대한 기대는 상당하다. 세계적으로 마이크로 LED 시장이 성장세에 있는데, 마이크로 LED 제조를 위해서는 사파이어 웨이퍼가 필요하기 때문이다. 마이크로 LED는 일반 LED에 비해 길이와 넓이가 각각 10분의 1, 100분의 1 수준이다. 다만, 아직까지는 기술력 등의 문제로 마이크로 LED를 사용하는 기기가 많지 않다. 시장조사기관 마켓앤드마켓은 마이크로 LED 시장 규모가 2020년 17억 달러(약 2조 1,250억 원)에서 2025년 199억 달러(약 25조 원)로 성장할 것으로 전망했다. 마이크로 LED는 스마트워치, 가상현실(VR) 등의 기기를 통해 시장이 형성되면서 향후에는 태블릿, 스마트폰 분야로 확대될 것으로 예상된다. 마이크로 LED 시장이 개화되면 사파이어 소재에 대한 수요가 급격히 늘어날 것으로 전망되며 사파이어 웨이퍼의 가격도 상승할 것으로 기대된다. 이 텍스트를 확장해줘.","파인텍은 2008년 설립해 끊임없는 R&D 투자와 우수 인력 확보로 전문적인 디스플레이 소재 분야의 선도 기업으로 성장해 왔다. 파인텍은 창립 이래 지속적인 연구 개발로 디스플레이 BLU를 국산화했고, 세계 최초로 폴더블 디스플레이 제조장비를 개발하는 등 디스플레이 산업에서 첨단 기술을 선도하는 기업으로 자리 잡았다. 파인텍은 디스플레이 토털 솔루션 기업을 뛰어넘어 이차전지 장비와 센서 사업에서의 끊임없는 도전과 혁신으로 글로벌 일류 기업으로 위상을 확고히 해 나가고 있다.일진디스플레이의 사업부는 크게 사파이어사업부와 터치사업부로 나뉜다. 사파이어사업부는 발광다이오드(LED)용 사파이어 웨이퍼를 주로 생산하고, 터치사업부는 휴대폰이나 태블릿에 쓰이는 터치스크린 패널을 제조한다. 일진디스플레이의 매출 90% 이상이 터치사업부에서 발생하고, 사파이어사업부의 매출 비중은 10%도 되지 않는다. 하지만 사파이어사업부에 대한 기대는 상당하다. 세계적으로 마이크로 LED 시장이 성장세에 있는데, 마이크로 LED 제조를 위해서는 사파이어 웨이퍼가 필요하기 때문이다. 마이크로 LED는 일반 LED에 비해 길이와 넓이가 각각 10분의 1, 100분의 1 수준이다. 다만, 아직까지는 기술력 등의 문제로 마이크로 LED를 사용하는 기기가 많지 않다. 시장조사기관 마켓앤드마켓은 마이크로 LED 시장 규모가 2020년 17억 달러(약 2조 1,250억 원)에서 2025년 199억 달러(약 25조 원)로 성장할 것으로 전망했다. 마이크로 LED는 스마트워치, 가상현실(VR) 등의 기기를 통해 시장이 형성되면서 향후에는 태블릿, 스마트폰 분야로 확대될 것으로 예상된다. 마이크로 LED 시장이 개화되면 사파이어 소재에 대한 수요가 급격히 늘어날 것으로 전망되며 사파이어 웨이퍼의 가격도 상승할 것으로 기대된다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
"2023년 8월 특허청 반도체심사추진단이 국내 디스플레이업계 관계자들과 ‘지식재산 제도 개선 간담회’를 진행했다. 최근 국내외 디스플레이 기업 간 격화되고 있는 기술 경쟁이 특허 분쟁으로 이어지고 있다. 이에 국내 디스플레이업계의 불편 사항을 듣고 이를 개선해 국내 기업의 세계 경쟁력 확보에 기여하고자 마련한 자리다. 간담회에서는 국내 반도체 분야 경쟁력 강화를 위한 추진단의 설립 취지와 국내 반도체 산업을 지원하기 위한 특허청의 주요 정책이 소개됐다. 아울러 디스플레이 분야 특허제도 개선 방안도 논의됐다. 관계자들은 세계 시장에서 초격차 우위를 지켜가기 위해 첨단 기술이 특허로 신속하게 보호받을 수 있는 제도적 장치가 필요하다고 강조했다. 이에 따라 간담회에서는 특허 경쟁력 확보의 중요성을 되짚고, 디스플레이 핵심 기술이 적기에 보호받을 수 있는 지원 정책을 논의했다. 특허청은 2023년 3월 반도체/디스플레이 민간 전문가 30명을 심사관으로 채용한 데 이어 앞으로 민간 전문가를 추가로 채용할 계획을 밝혔다. 이 텍스트를 확장해줘.","2023년 8월 특허청 반도체심사추진단이 국내 디스플레이업계 관계자들과 ‘지식재산 제도 개선 간담회’를 진행했다. 최근 국내외 디스플레이 기업 간 격화되고 있는 기술 경쟁이 특허 분쟁으로 이어지고 있다. 이에 국내 디스플레이업계의 불편 사항을 듣고 이를 개선해 국내 기업의 세계 경쟁력 확보에 기여하고자 마련한 자리다. 간담회에서는 국내 반도체 분야 경쟁력 강화를 위한 추진단의 설립 취지와 국내 반도체 산업을 지원하기 위한 특허청의 주요 정책이 소개됐다. 아울러 디스플레이 분야 특허제도 개선 방안도 논의됐다. 관계자들은 세계 시장에서 초격차 우위를 지켜가기 위해 첨단 기술이 특허로 신속하게 보호받을 수 있는 제도적 장치가 필요하다고 강조했다. 이에 따라 간담회에서는 특허 경쟁력 확보의 중요성을 되짚고, 디스플레이 핵심 기술이 적기에 보호받을 수 있는 지원 정책을 논의했다. 특허청은 2023년 3월 반도체/디스플레이 민간 전문가 30명을 심사관으로 채용한 데 이어 앞으로 민간 전문가를 추가로 채용할 계획을 밝혔다. 이와 관련하여 전문가들은 향후 시장 동향에 대한 심층 분석을 진행하고 있다."
